,Name,Rating,Location,Cuisine,Votes,Cost
3972,Ci Gusta,4.5/5108 votes,"Madhapur, West Hyderabad","Ice Cream,  Italian,  Desserts",108 votes,₹ 1000 for two (approx.)
3973,Over The Moon,4.0/5211 votes,"Hotel Daspalla,Jubilee Hills, Central West Hyderabad","North Indian,  Continental,  Asian",211 votes,₹ 2500 for two (approx.)
3974,Nasha,4.3/5218 votes,"Hotel Kass,Kompally, Secunderabad","North Indian,  Andhra",218 votes,₹ 1500 for two (approx.)
3975,Palamuru Grill,4.1/5479 votes,"Madhapur, West Hyderabad","Andhra,  North Indian",479 votes,₹ 900 for two (approx.)
3976,Reason's,4.5/537 votes,"Jubilee Hills, Central West Hyderabad","North Indian,  Chinese",37 votes,₹ 1800 for two (approx.)
3977,The Chocolate Room,4.2/549 votes,"Attapur, South Hyderabad","Italian,  Continental,  Fast Food,  Desserts",49 votes,₹ 800 for two (approx.)
3978,Burger Mischief,4.5/524 votes,"Jubilee Hills, Central West Hyderabad","Fast Food,  American,  Burger",24 votes,₹ 500 for two (approx.)
3979,Zozoz Pizzeria,4.2/572 votes,"Jubilee Hills, Central West Hyderabad","Italian,  Pizza",72 votes,₹ 800 for two (approx.)
3980,De Cafe Studio,4.2/539 votes,"Malakpet, South Hyderabad","Continental,  Fast Food,  Desserts,  Coffee,  Tea",39 votes,₹ 500 for two (approx.)
3981,Hut-K Spice Kitchen,4.0/5175 votes,"Madhapur, West Hyderabad","North Indian,  South Indian,  Chinese",175 votes,₹ 900 for two (approx.)
3982,Circles,4.2/593 votes,"Hotel Daspalla,Jubilee Hills, Central West Hyderabad","Multi-Cuisine,  North Indian,  Chinese,  Continental,  South Indian",93 votes,₹ 1700 for two (approx.)
3983,Beans & Brie Bistro,4.2/560 votes,"Jubilee Hills, Central West Hyderabad","Continental,  Health Food,  Shakes",60 votes,₹ 1000 for two (approx.)
3984,Revolt Jubilee Hills,3.9/5731 votes,"Jubilee Hills, Central West Hyderabad","Italian,  Chinese,  Finger Food,  North Indian",731 votes,₹ 2000 for two (approx.)
3985,Mid Land Bakers & Confectioners,1.5/52 votes,"Ameerpet, Central East Hyderabad","Bakery and Confectionary,  Chinese,  Desserts,  Fast Food",2 votes,₹ 400 for two (approx.)
3986,Kholani's Dine in Barbeque,3.3/521 votes,"Tolichowki, Central Hyderabad","North Indian,  Barbecue,  Chinese,  Mughlai",21 votes,₹ 1000 for two (approx.)
3987,Fusion 9,4.4/576 votes,"Jubilee Hills, Central West Hyderabad","Fusion,  Italian,  Continental,  Asian",76 votes,₹ 3000 for two (approx.)
3988,Olive Bistro & Bar,4.3/5458 votes,"Jubilee Hills, Central West Hyderabad","European,  Italian,  Mediterranean",458 votes,₹ 1500 for two (approx.)
3989,The Hoppery,4.3/5375 votes,"Jubilee Hills, Central West Hyderabad","Continental,  Finger Food,  Pizza",375 votes,₹ 1800 for two (approx.)
3990,F3 Cafe and Bistro,4.3/5132 votes,"Sainikpuri, Secunderabad","Italian,  Continental,  Mexican,  Asian",132 votes,₹ 900 for two (approx.)
3991,Sacred Earth Cafe,4.8/511 votes,"Madhapur, West Hyderabad","Italian,  Mediterranean,  Mexican",11 votes,₹ 800 for two (approx.)
3992,Amnesia Sky Bar,4.0/5234 votes,"Inorbit Mall,Madhapur, West Hyderabad","North Indian,  Continental,  Oriental ",234 votes,₹ 2100 for two (approx.)
3993,Coffee Times,4.1/566 votes,"Hotel Daspalla,Jubilee Hills, Central West Hyderabad","Multi-Cuisine,  North Indian,  Chinese,  Continental,  South Indian,  Coffee",66 votes,₹ 800 for two (approx.)
3994,Temptations,,"Bowenpally, Secunderabad","Desserts,  Ice Cream,  Shakes",0,₹ 300 for two (approx.)
3995,Palamuru Grill,4.1/5186 votes,"Attapur, South Hyderabad","Barbecue,  Andhra,  North Indian",186 votes,₹ 1100 for two (approx.)
3996,Ironhill Cafe,4.2/5108 votes,"Madhapur, West Hyderabad","Italian,  Continental,  Fast Food",108 votes,₹ 900 for two (approx.)
3997,Rayalaseema Ruchulu,3.9/5433 votes,"Sun Towers,Madhapur, West Hyderabad","Andhra,  South Indian,  Biryani",433 votes,₹ 1100 for two (approx.)
3998,Biggies Burger 'n' More,4.0/555 votes,"Jubilee Hills, Central West Hyderabad","Fast Food,  Burger",55 votes,₹ 600 for two (approx.)
3999,10 Downing Street,5.0/53 votes,"Kompally, Secunderabad","North Indian,  Continental,  Chinese,  Multi-Cuisine,  Fusion",3 votes,₹ 1800 for two (approx.)
4000,MudBrick Kitchen and Bar,4.3/578 votes,"Jubilee Hills, Central West Hyderabad","Continental,  European,  North Indian,  Italian",78 votes,₹ 2500 for two (approx.)
4001,Makers Of Milkshakes,3.0/52 votes,"Film Nagar, Central West Hyderabad","Shakes,  Waffle",2 votes,₹ 400 for two (approx.)
4002,The Grand Trunk Road,4.0/5712 votes,"Madhapur, West Hyderabad","North Indian,  Chinese,  South Indian",712 votes,₹ 1100 for two (approx.)
4003,Kesariya's Sweets,4.0/56 votes,"Madhapur, West Hyderabad","Desserts,  Mithai,  Street Food,  Chaat",6 votes,₹ 200 for two (approx.)
4004,CIBO House,4.3/5616 votes,"Phoenix Tower A,Hitech City, West Hyderabad","Italian,  Continental",616 votes,₹ 1500 for two (approx.)
4005,Fusion 9,4.2/5350 votes,"Inorbit Mall,Madhapur, West Hyderabad","Asian,  Fusion,  Italian,  Continental",350 votes,₹ 1800 for two (approx.)
4006,Dildaar,4.3/5187 votes,"Madhapur, West Hyderabad","North Indian,  Mughlai",187 votes,₹ 1000 for two (approx.)
4007,1989 Pizza & Thick Shake's,5.0/51 votes,"Malakpet, South Hyderabad","Fast Food,  Pizza,  Italian",1 votes,₹ 600 for two (approx.)
4008,Frozen Bottle,3.8/512 votes,"Tolichowki, Central Hyderabad","Shakes,  Desserts,  Ice Cream",12 votes,₹ 300 for two (approx.)
4009,Chili’s American Grill and Bar,4.2/5623 votes,"Inorbit Mall,Madhapur, West Hyderabad","Mexican,  American",623 votes,₹ 1800 for two (approx.)
4010,Bird Box - Bar & Cafe,4.3/5112 votes,"Zen Building,Madhapur, West Hyderabad","Italian,  Chinese",112 votes,₹ 1200 for two (approx.)
4011,Barbeque Nation,4.3/5524 votes,"Forum Sujana Mall,Kukatpally, West Hyderabad","Barbecue,  North Indian,  Mediterranean",524 votes,₹ 1400 for two (approx.)
4012,Cream Stone,4.3/514 votes,"Bullet King Commercial Complex,Hitech City, West Hyderabad","Desserts,  Ice Cream,  Shakes",14 votes,₹ 400 for two (approx.)
4013,Cafe Lilliput Bar & Restaurant,3.7/544 votes,"Madhapur, West Hyderabad","North Indian,  Chinese",44 votes,₹ 1000 for two (approx.)
4014,Indulge Ice Cream,,"SD Road, Secunderabad","Ice Cream,  Desserts",0,₹ 300 for two (approx.)
4015,T- Grill,3.1/5669 votes,"Madhapur, West Hyderabad","North Indian,  South Indian,  Mughlai,  Andhra",669 votes,₹ 700 for two (approx.)
4016,Cream Stone,4.5/532 votes,"South India Shopping Mall,Kukatpally, West Hyderabad","Desserts,  Ice Cream,  Shakes",32 votes,₹ 400 for two (approx.)
4017,Gudgudee - Tickle Your Tastebuds,4.3/5100 votes,"Madhapur, West Hyderabad","North Indian,  Chinese",100 votes,₹ 1000 for two (approx.)
4018,ABs - Absolute Barbecues,4.3/5525 votes,"Miyapur, West Hyderabad","North Indian,  Barbecue,  Seafood",525 votes,₹ 1200 for two (approx.)
4019,Kumbakarnas Restaurant,4.0/55 votes,"Tarnaka, East Hyderabad","North Indian,  South Indian,  Hyderabadi,  Andhra",5 votes,₹ 600 for two (approx.)
4020,Sri Santosh Family Dhaba,2.9/54 votes,"Tarnaka, East Hyderabad","North Indian,  Chinese",4 votes,₹ 600 for two (approx.)
4021,Date - A Middle East Food Affair,3.6/594 votes,"Madhapur, West Hyderabad","Lebanese,  Arabian",94 votes,₹ 900 for two (approx.)
4022,The Fort Club,3.7/53 votes,"Ambiance Fort,Attapur, South Hyderabad","North Indian,  Chinese,  South Indian",3 votes,₹ 500 for two (approx.)
4023,The Glass Onion,4.2/5205 votes,"Gachibowli, West Hyderabad","Multi-Cuisine,  North Indian,  Italian,  Continental,  Asian",205 votes,₹ 1700 for two (approx.)
4024,The Big Cup Theory,4.2/559 votes,"Madhapur, West Hyderabad","Italian,  Continental,  European",59 votes,₹ 1000 for two (approx.)
4025,Rotis,4.3/5527 votes,"Hardhick Crown,Hitech City, West Hyderabad","North Indian,  Continental,  Mexican,  Oriental ",527 votes,₹ 1200 for two (approx.)
4026,Express By AB's,2.7/53 votes,"Pammasani Complex,Jubilee Hills, Central West Hyderabad","North Indian,  Barbecue",3 votes,₹ 600 for two (approx.)
4027,Hawte,4.3/517 votes,"Madhapur, West Hyderabad","Desserts,  Ice Cream,  Shakes",17 votes,₹ 400 for two (approx.)
4028,Barbeque Nation,4.2/5375 votes,"Kothapet, East Hyderabad","Barbecue,  North Indian",375 votes,₹ 1400 for two (approx.)
4029,Punjabi Affair,3.9/556 votes,"Oyster Uptown Building,Madhapur, West Hyderabad","North Indian,  Chinese",56 votes,₹ 800 for two (approx.)
4030,The Coffee Cup,4.3/5122 votes,"Sainikpuri, Secunderabad","Continental,  Fast Food,  Italian,  Coffee",122 votes,₹ 700 for two (approx.)
4031,Ankapur Village Hotel,4.0/582 votes,"Madhapur, West Hyderabad",Hyderabadi,82 votes,₹ 1100 for two (approx.)
4032,Over The Moon Brew Company,4.2/5771 votes,"Gachibowli, West Hyderabad","Multi-Cuisine,  North Indian,  Continental,  Asian",771 votes,₹ 2500 for two (approx.)
4033,Punjab Bistro,4.2/574 votes,"Inorbit Mall,Madhapur, West Hyderabad","North Indian,  Mughlai",74 votes,₹ 1500 for two (approx.)
4034,Taste of India,3.5/524 votes,"Habsiguda, East Hyderabad","North Indian,  Chinese,  Mughlai",24 votes,₹ 1000 for two (approx.)
4035,Snort,4.1/5134 votes,"Hitech City, West Hyderabad","North Indian,  Italian,  Continental,  Multi-Cuisine",134 votes,₹ 2000 for two (approx.)
4036,Seasonal Tastes,4.2/5193 votes,"The Westin Hyderabad Mindspace,Hitech City, West Hyderabad","Multi-Cuisine,  North Indian,  Chinese,  Continental,  South Indian",193 votes,₹ 2600 for two (approx.)
4037,The Breezy Bistro,3.6/5148 votes,"Hitech City, West Hyderabad","Multi-Cuisine,  North Indian,  Italian,  Continental,  Asian",148 votes,₹ 900 for two (approx.)
4038,Taco Bell,4.4/521 votes,"Inorbit Mall,Madhapur, West Hyderabad","Mexican,  Tex Mex,  Tex Mex",21 votes,₹ 500 for two (approx.)
4039,Nag Restaurant and Banquets,2.1/516 votes,"Alwal, Secunderabad","North Indian,  Chinese,  Seafood",16 votes,₹ 900 for two (approx.)
4040,Coco Fit,4.0/52 votes,"Madhapur, West Hyderabad","Juice,  Shakes",2 votes,₹ 300 for two (approx.)
4041,California Burrito,4.2/553 votes,"Inorbit Mall,Madhapur, West Hyderabad","Italian,  Mexican,  Health Food",53 votes,₹ 800 for two (approx.)
4042,1989 Milkshakes,5.0/55 votes,"Dilsukh Nagar, East Hyderabad","Fast Food,  Pizza,  Desserts,  Shakes",5 votes,₹ 600 for two (approx.)
4043,The Joint Al Mandi,4.5/5107 votes,"Madhapur, West Hyderabad","Lebanese,  Arabian",107 votes,₹ 500 for two (approx.)
4044,Temptations,,"East Marredpalli, Secunderabad","Desserts,  Ice Cream,  Shakes,  Fast Food",0,₹ 600 for two (approx.)
4045,Cream Town,2.8/53 votes,"Malkajgiri, Secunderabad","Desserts,  Ice Cream,  Fast Food,  Shakes",3 votes,₹ 300 for two (approx.)
4046,Makers Of Milkshakes,5.0/51 votes,"Habsiguda, East Hyderabad","Shakes,  Waffle",1 votes,₹ 400 for two (approx.)
4047,STR8UP,3.8/5185 votes,"Jaysudha Heights,Madhapur, West Hyderabad","North Indian,  Continental,  Finger Food",185 votes,₹ 1300 for two (approx.)
4048,Heart Cup Coffee,3.9/5107 votes,"Gachibowli, West Hyderabad","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",107 votes,₹ 1700 for two (approx.)
4049,1989 Pizza & Thick Shakes,4.5/511 votes,"Dilsukh Nagar, East Hyderabad","Italian,  Desserts,  Shakes",11 votes,₹ 600 for two (approx.)
4050,Shree Santosh Family Dhaba,3.6/57 votes,"Madhapur, West Hyderabad","North Indian,  Chinese",7 votes,₹ 500 for two (approx.)
4051,TGI Friday's,4.1/5429 votes,"Forum Sujana Mall,Kukatpally, West Hyderabad","Mexican,  American,  Tex Mex,  Tex Mex",429 votes,₹ 3400 for two (approx.)
4052,Tollgate,4.1/586 votes,"Tollgate,Jeedimetla, Secunderabad","North Indian,  South Indian,  Chinese",86 votes,₹ 800 for two (approx.)
4053,78 Degrees East,3.4/5418 votes,"Habsiguda, East Hyderabad","Multi-Cuisine,  North Indian,  Chinese,  Mughlai,  Hyderabadi",418 votes,₹ 1000 for two (approx.)
4054,T Grill Thali Time,4.0/5566 votes,"Hotel Deccan Serai,Hitech City, West Hyderabad","North Indian,  Mughlai,  Seafood,  Oriental ",566 votes,₹ 800 for two (approx.)
4055,Bar One,4.2/510 votes,"Madhapur, West Hyderabad","North Indian,  Chinese",10 votes,₹ 1000 for two (approx.)
4056,Stikstof Ice-cream Cafe,3.9/571 votes,"Madhapur, West Hyderabad","Desserts,  Ice Cream,  Tea",71 votes,₹ 500 for two (approx.)
4057,Beijing Bites,,"Jubilee Hills, Central West Hyderabad","Desserts,  Ice Cream",0,₹ 400 for two (approx.)
4058,Dhaba–Estd 1986 Delhi,4.2/5421 votes,"Western Pearl Building,Kondapur, West Hyderabad",North Indian,421 votes,₹ 1200 for two (approx.)
4059,Up Cup Cafe,5.0/51 votes,"Madhapur, West Hyderabad","Continental,  Fast Food",1 votes,₹ 600 for two (approx.)
4060,Ohri's - Rubaiyat,4.1/5545 votes,"Hitech City, West Hyderabad","North Indian,  Mughlai",545 votes,₹ 1200 for two (approx.)
4061,Bake Bar,5.0/53 votes,"Madhapur, West Hyderabad","Desserts,  Bakery and Confectionary",3 votes,₹ 400 for two (approx.)
4062,Ulavacharu,3.9/5333 votes,"Fantasy Square Building,Gachibowli, West Hyderabad","Seafood,  Andhra,  North Indian,  Chinese",333 votes,₹ 1000 for two (approx.)
4063,Eagles Pizza,4.0/570 votes,"Habsiguda, East Hyderabad","Pizza,  Italian,  Ice Cream,  Fast Food",70 votes,₹ 600 for two (approx.)
4064,Kazuza,3.4/571 votes,"Habsiguda, East Hyderabad","Fast Food,  Coffee,  Shakes",71 votes,₹ 1000 for two (approx.)
4065,Good Vibes Only Cafe,4.0/57 votes,"Gachibowli, West Hyderabad","Italian,  Continental",7 votes,₹ 1100 for two (approx.)
4066,Maryada Ramanna,4.3/587 votes,"Kondapur, West Hyderabad","South Indian,  Biryani",87 votes,₹ 800 for two (approx.)
4067,DOF Cafe,4.0/514 votes,"Prithvi Complex,Habsiguda, East Hyderabad","Continental,  Oriental ",14 votes,₹ 500 for two (approx.)
4068,TMH-Flavours Of Taj Mahal Hotel,4.3/5102 votes,"L & T Metro Mall,Madhapur, West Hyderabad","North Indian,  South Indian,  Chinese",102 votes,₹ 1000 for two (approx.)
4069,Barbeque Nation,4.4/5338 votes,"A S Rao Nagar, Secunderabad","Barbecue,  North Indian",338 votes,₹ 1400 for two (approx.)
4070,NorFest - The Dhaba,3.7/576 votes,"Apnaa Nukkad Drive In,Dilsukh Nagar, East Hyderabad",North Indian,76 votes,₹ 1000 for two (approx.)
4071,Kinara Grand,3.0/52 votes,"Malkajgiri, Secunderabad","North Indian,  Chinese",2 votes,₹ 800 for two (approx.)
4072,Onesta,4.5/5146 votes,"Madhapur, West Hyderabad","Italian,  Pizza",146 votes,₹ 900 for two (approx.)
4073,W Cafe By Wich Way,4.2/5127 votes,"Sainikpuri, Secunderabad","Continental,  American,  Fast Food",127 votes,₹ 800 for two (approx.)
4074,Taco Bell,4.3/586 votes,"L & T Metro Mall,Madhapur, West Hyderabad","Mexican,  Tex Mex",86 votes,₹ 500 for two (approx.)
4075,La La Land,4.1/5367 votes,"Cyber Edifice,Gachibowli, West Hyderabad","North Indian,  Chinese",367 votes,₹ 1400 for two (approx.)
4076,Brundavan Bar & Restaurant,3.9/559 votes,"Dilsukh Nagar, East Hyderabad","North Indian,  Chinese",59 votes,₹ 1200 for two (approx.)
4077,Heart Cup Coffee,4.4/5460 votes,"Kondapur, West Hyderabad","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",460 votes,₹ 1400 for two (approx.)
4078,Blue Fox,3.9/5435 votes,"Huda Techno Enclave,Madhapur, West Hyderabad","North Indian,  Chinese,  Continental",435 votes,₹ 1000 for two (approx.)
4079,Sandwich Eatery,4.2/526 votes,"Kompally, Secunderabad","Fast Food,  Shakes",26 votes,₹ 500 for two (approx.)
4080,Minerva Coffee Shop,3.9/5196 votes,"Huda Techno Enclave,Madhapur, West Hyderabad","North Indian,  South Indian,  Chinese",196 votes,₹ 600 for two (approx.)
4081,Wings N Pizza,3.5/57 votes,"Suraram, Secunderabad","Pizza,  Fast Food",7 votes,₹ 300 for two (approx.)
4082,Palamuru Grill,4.0/5143 votes,"Kothapet, East Hyderabad","Barbecue,  Andhra,  North Indian",143 votes,₹ 900 for two (approx.)
4083,Cloud dining,3.6/560 votes,"Hitech City, West Hyderabad","North Indian,  Chinese,  Continental",60 votes,₹ 5000 for two (approx.)
4084,Casbah,4.0/575 votes,"The Westin Hyderabad Mindspace,Hitech City, West Hyderabad",Mediterranean,75 votes,₹ 3000 for two (approx.)
4085,Indulge Ice Cream,,"SL Jubliee,Jubilee Hills, Central West Hyderabad","Ice Cream,  Desserts",0,₹ 300 for two (approx.)
4086,The Chocolate Room Co-working Cafe & Lounge,4.2/562 votes,"Hitech City, West Hyderabad","Desserts,  Fast Food",62 votes,₹ 1000 for two (approx.)
4087,Punjabi Affair,4.4/57 votes,"Gachibowli, West Hyderabad","North Indian,  Chinese",7 votes,₹ 800 for two (approx.)
4088,The Lal Street - Bar Stock Exchange,4.1/5767 votes,"SLN Terminus,Gachibowli, West Hyderabad","North Indian,  Finger Food,  Pizza",767 votes,₹ 1600 for two (approx.)
4089,Mamagoto,4.4/5397 votes,"Western Pearl Building,Kondapur, West Hyderabad","Asian,  Chinese,  Thai,  Japanese,  Oriental ",397 votes,₹ 1500 for two (approx.)
4090,Mid Land Bakers & Confectioners,4.0/52 votes,"Manikonda, West Hyderabad","Bakery and Confectionary,  Chinese,  Desserts,  Fast Food",2 votes,₹ 400 for two (approx.)
4091,Almond House,,"SL Jubliee,Jubilee Hills, Central West Hyderabad","Mithai,  Desserts",0,₹ 500 for two (approx.)
4092,Kangan,4.3/542 votes,"The Westin Hyderabad Mindspace,Hitech City, West Hyderabad",North Indian,42 votes,₹ 2500 for two (approx.)
4093,Taste of Rajasthan,2.1/53 votes,"Madhapur, West Hyderabad","Rajasthani,  North Indian",3 votes,₹ 400 for two (approx.)
4094,Teluguness,4.1/5246 votes,"Hitech City, West Hyderabad","North Indian,  Andhra,  Chinese",246 votes,₹ 1000 for two (approx.)
4095,Mainland China,4.2/5296 votes,"Hitech City, West Hyderabad","Chinese,  Seafood",296 votes,₹ 1700 for two (approx.)
4096,Southern Spice,3.6/57 votes,"Retro Drive In,Madhapur, West Hyderabad","South Indian,  Chinese",7 votes,₹ 800 for two (approx.)
4097,A'La Liberty,4.2/5957 votes,"Cyber Grub,Hitech City, West Hyderabad","Multi-Cuisine,  North Indian,  Italian,  Continental,  Asian",957 votes,₹ 1300 for two (approx.)
4098,Spudato,3.9/572 votes,"Gachibowli, West Hyderabad","North Indian,  Chinese,  Continental",72 votes,₹ 1200 for two (approx.)
4099,The Tilt Republic Bar,4.2/5246 votes,"Fantasy Square Building,Gachibowli, West Hyderabad","North Indian,  Continental,  European",246 votes,₹ 2000 for two (approx.)
4100,Ala - The Rooftop,3.9/587 votes,"Kompally, Secunderabad",North Indian,87 votes,₹ 1600 for two (approx.)
4101,Full Moon Multicuisine Restaurant,4.0/544 votes,"Alwal, Secunderabad","North Indian,  Chinese",44 votes,₹ 700 for two (approx.)
4102,Gappe Vappe,,"SL Jubliee,Jubilee Hills, Central West Hyderabad","Street Food,  Fast Food",0,₹ 500 for two (approx.)
4103,Chaitanya Food Court,4.3/5185 votes,"Kukatpally, West Hyderabad","Andhra,  Biryani,  Chinese,  Seafood",185 votes,₹ 1100 for two (approx.)
4104,Apsara Ice Creams,4.4/530 votes,"Kukatpally, West Hyderabad","Ice Cream,  Desserts",30 votes,₹ 300 for two (approx.)
4105,Barbeque Nation,4.4/5171 votes,"Kothaguda, West Hyderabad","Barbecue,  North Indian,  Mediterranean",171 votes,₹ 1400 for two (approx.)
4106,10 Downing Street,4.4/5353 votes,"SLN Terminus,Gachibowli, West Hyderabad","Multi-Cuisine,  North Indian,  Chinese,  Continental",353 votes,₹ 2000 for two (approx.)
4107,Tiki Shack,4.2/5284 votes,"Times Square,Gachibowli, West Hyderabad","Continental,  Finger Food",284 votes,₹ 1300 for two (approx.)
4108,Coco Fit,2.7/53 votes,"Madhapur, West Hyderabad","Juice,  Shakes,  Ice Cream",3 votes,₹ 300 for two (approx.)
4109,Little Italy,4.2/5444 votes,"BK Towers,Hitech City, West Hyderabad","Italian,  Mexican",444 votes,₹ 1800 for two (approx.)
4110,Aromas@11SIX,3.8/5104 votes,"Gachibowli, West Hyderabad","North Indian,  Chinese,  Seafood,  Mughlai",104 votes,₹ 1200 for two (approx.)
